"State","averageIQ"
"Massachusetts","104.3000"
"New Hampshire","104.2000"
"Vermont","103.8000"
"North Dakota","103.8000"
"Minnesota","103.7000"
"Montana","103.4000"
"Maine","103.4000"
"Iowa","103.2000"
"Connecticut","103.1000"
"Wisconsin","102.9000"
"South Dakota","102.8000"
"New Jersey","102.8000"
"Kansas","102.8000"
"Wyoming","102.4000"
"Nebraska","102.3000"
"Washington","101.9000"
"Virginia","101.9000"
"Ohio","101.8000"
"Indiana","101.7000"
"Colorado","101.6000"
"Pennsylvania","101.5000"
"Idaho","101.4000"
"Oregon","101.2000"
"Utah","101.1000"
"Missouri",101
"New York","100.7000"
"Michigan","100.5000"
"Delaware","100.4000"
"North Carolina","100.2000"
"Texas",100
"Illinois","99.9000"
"Maryland","99.7000"
"Rhode Island","99.5000"
"Kentucky","99.4000"
"Oklahoma","99.3000"
"Alaska",99
"West Virginia","98.7000"
"South Carolina","98.4000"
"Florida","98.4000"
"Georgia",98
"Tennessee","97.7000"
"Arkansas","97.5000"
"Arizona","97.4000"
"Nevada","96.5000"
"New Mexico","95.7000"
"Alabama","95.7000"
"Hawaii","95.6000"
"California","95.5000"
"Louisiana","95.3000"
"Mississippi","94.2000"
