Alabama,9.5,3646,
Alaska,8.0,518,
Arizona,10.0,5027,
Arkansas,7.9,2221,
California,12.4,28239,
Colorado,8.9,3899,
Connecticut,9.1,2765,
Delaware,8.5,693,
District of Columbia,9.9,496,
Florida,11.5,14736,
Georgia,10.2,7396,
Hawaii,6.6,989,
Idaho,9.3,1163,
Illinois,10.3,9936,
Indiana,10.2,4939,
Iowa,6.1,2348,
Kansas,7.0,2146,2146,
Kentucky,10.5,3354,
Louisiana,7.5,3420,
Maine,7.9,1066,
Maryland,7.5,4443,
Massachusetts,8.5,5282,
Michigan,12.5,7780,
Minnesota,7.3,4112,
Mississippi,10.4,2211,
Missouri,8.8,4642,
Montana,7.2,773,
Nebraska,4.7,1375,
Nevada,14.9,2015,
New Hampshire,6.1,1063,
New Jersey,9.5,6812,
New Mexico,8.4,1535,
New York,8.6,15431,
North Carolina,10.6,7200
North Dakota,3.9,510,
Ohio,10.1,8976,
Oklahoma,7.1,2802,
Oregon,10.8,3039,
Pennsylvania,8.7,9987,
Rhode Island,11.6,845,
South Carolina,11.2,3530,
South Dakota,4.8,625,
Tennessee,9.7,4913,
Texas,8.2,18419,
Utah,7.7,2007,
Vermont,6.2,510,
Virginia,6.9,6077,
Washington,8.3,5247,
West Virginia,9.1,1458,
Wisconsin,8.3,4440,
Wyoming,7.0,422,
