Alabama,80.9,13.8,7.8,
Alaska,90.7,16.6,9.8,
Arizona,83.6,16.2,9.2,
Arkansas,81.3,12.6,6.4,
California,80.3,18.9,10.6,
Colorado,88.6,22.6,12.4,
Connecticut,88.3,19.9,14.9,
Delaware,86.5,16.1,10.7,
Florida,85.0,16.7,9.0,
Georgia,82.9,17.5,9.4,
Hawaii,89.5,19.2,9.8,
Idaho,88.0,16.7,7.5,
Illinois,85.6,18.5,11.0,
Indiana,85.8,14.4,8.1,
Iowa,89.6,16.8,7.4,
Kansas,89.0,19.3,9.9,
Kentucky,80.5,12.0,8.0,
Louisiana,80.1,13.6,6.7,
Maine,89.4,16.6,9.0,
Maryland,87.5,19.6,15.7,
Massachusetts,88.4,21.8,16.0,
Michigan,87.7,15.4,9.4,
Minnesota,91.1,21.1,9.8,
Mississippi,78.9,12.5,6.6,
Missouri,85.7,15.7,9.0,
Montana,90.6,18.5,8.3,
Nebraska,90.0,8.5,8.6,
Nevada,83.7,14.3,7.1,
New Hampshire,90.4,20.9,11.5,
New Jersey,86.8,21.2,12.7,
New Mexico,82.3,14.2,10.5,
New York,84.1,18.0,13.6,
North Carolina,82.9,17.1,8.5,
North Dakota,89.1,19.7,6.4,
Ohio,87.0,15.2,8.7,
Oklahoma,84.8,15.0,7.4,
Oregon,88.1,17.8,10.1,
Pennsylvania,86.8,16.0,9.8,
Rhode Island,83.0,18.3,11.3,
South Carolina,82.3,15.2,8.2,
South Dakota,88.6,17.2,7.1,
Tennessee,81.8,14.5,7.8,
Texas,79.2,16.9,8.2,
Utah,90.5,19.6,9.3,
Vermont,91.0,20.6,12.8,
Virginia,85.7,19.7,13.6,
Washington,89.4,19.8,10.7,
West Virginia,81.4,10.3,6.6,
Wisconsin,89.0,16.9,8.6,
Wyoming, 91.0,15.4,7.5,
